Country.Code,Country Name,Year,DEMOC,AUTOC,POLITY,POLITY2
DEN,Denmark,1867,3,4,-1,-1
DEN,Denmark,1868,3,4,-1,-1
DEN,Denmark,1869,3,4,-1,-1
DEN,Denmark,1870,1,4,-3,-3
DEN,Denmark,1871,1,4,-3,-3
DEN,Denmark,1872,1,4,-3,-3
DEN,Denmark,1873,1,4,-3,-3
DEN,Denmark,1874,1,4,-3,-3
DEN,Denmark,1875,1,4,-3,-3
DEN,Denmark,1876,1,4,-3,-3
DEN,Denmark,1877,1,4,-3,-3
DEN,Denmark,1878,1,4,-3,-3
DEN,Denmark,1879,1,4,-3,-3
DEN,Denmark,1880,1,4,-3,-3
DEN,Denmark,1881,1,4,-3,-3
DEN,Denmark,1882,1,4,-3,-3
DEN,Denmark,1883,1,4,-3,-3
DEN,Denmark,1884,1,4,-3,-3
DEN,Denmark,1885,1,4,-3,-3
DEN,Denmark,1886,1,4,-3,-3
DEN,Denmark,1887,1,4,-3,-3
DEN,Denmark,1888,1,4,-3,-3
DEN,Denmark,1889,1,4,-3,-3
DEN,Denmark,1890,1,4,-3,-3
DEN,Denmark,1891,1,4,-3,-3
DEN,Denmark,1892,1,4,-3,-3
DEN,Denmark,1893,1,4,-3,-3
DEN,Denmark,1894,1,4,-3,-3
DEN,Denmark,1895,1,4,-3,-3
DEN,Denmark,1896,1,4,-3,-3
DEN,Denmark,1897,1,4,-3,-3
DEN,Denmark,1898,1,4,-3,-3
DEN,Denmark,1899,1,4,-3,-3
DEN,Denmark,1900,1,4,-3,-3
DEN,Denmark,1901,-88,-88,-88,-2
DEN,Denmark,1902,-88,-88,-88,-1
DEN,Denmark,1903,-88,-88,-88,0
DEN,Denmark,1904,-88,-88,-88,1
DEN,Denmark,1905,-88,-88,-88,2
DEN,Denmark,1906,-88,-88,-88,3
DEN,Denmark,1907,-88,-88,-88,3
DEN,Denmark,1908,-88,-88,-88,4
DEN,Denmark,1909,-88,-88,-88,4
DEN,Denmark,1910,-88,-88,-88,5
DEN,Denmark,1911,-88,-88,-88,6
DEN,Denmark,1912,-88,-88,-88,7
DEN,Denmark,1913,-88,-88,-88,8
DEN,Denmark,1914,-88,-88,-88,9
DEN,Denmark,1915,10,0,10,10
DEN,Denmark,1916,10,0,10,10
DEN,Denmark,1917,10,0,10,10
DEN,Denmark,1918,10,0,10,10
DEN,Denmark,1919,10,0,10,10
DEN,Denmark,1920,10,0,10,10
DEN,Denmark,1921,10,0,10,10
DEN,Denmark,1922,10,0,10,10
DEN,Denmark,1923,10,0,10,10
DEN,Denmark,1924,10,0,10,10
DEN,Denmark,1925,10,0,10,10
DEN,Denmark,1926,10,0,10,10
DEN,Denmark,1927,10,0,10,10
DEN,Denmark,1928,10,0,10,10
DEN,Denmark,1929,10,0,10,10
DEN,Denmark,1930,10,0,10,10
DEN,Denmark,1931,10,0,10,10
DEN,Denmark,1932,10,0,10,10
DEN,Denmark,1933,10,0,10,10
DEN,Denmark,1934,10,0,10,10
DEN,Denmark,1935,10,0,10,10
DEN,Denmark,1936,10,0,10,10
DEN,Denmark,1937,10,0,10,10
DEN,Denmark,1938,10,0,10,10
DEN,Denmark,1939,10,0,10,10
DEN,Denmark,1940,-66,-66,-66,
DEN,Denmark,1941,-66,-66,-66,
DEN,Denmark,1942,-66,-66,-66,
DEN,Denmark,1943,-66,-66,-66,
DEN,Denmark,1944,-66,-66,-66,
DEN,Denmark,1945,10,0,10,10
DEN,Denmark,1946,10,0,10,10
DEN,Denmark,1947,10,0,10,10
DEN,Denmark,1948,10,0,10,10
DEN,Denmark,1949,10,0,10,10
DEN,Denmark,1950,10,0,10,10
DEN,Denmark,1951,10,0,10,10
DEN,Denmark,1952,10,0,10,10
DEN,Denmark,1953,10,0,10,10
DEN,Denmark,1954,10,0,10,10
DEN,Denmark,1955,10,0,10,10
DEN,Denmark,1956,10,0,10,10
DEN,Denmark,1957,10,0,10,10
DEN,Denmark,1958,10,0,10,10
DEN,Denmark,1959,10,0,10,10
DEN,Denmark,1960,10,0,10,10
DEN,Denmark,1961,10,0,10,10
DEN,Denmark,1962,10,0,10,10
DEN,Denmark,1963,10,0,10,10
DEN,Denmark,1964,10,0,10,10
DEN,Denmark,1965,10,0,10,10
DEN,Denmark,1966,10,0,10,10
DEN,Denmark,1967,10,0,10,10
DEN,Denmark,1968,10,0,10,10
DEN,Denmark,1969,10,0,10,10
DEN,Denmark,1970,10,0,10,10
DEN,Denmark,1971,10,0,10,10
DEN,Denmark,1972,10,0,10,10
DEN,Denmark,1973,10,0,10,10
DEN,Denmark,1974,10,0,10,10
DEN,Denmark,1975,10,0,10,10
DEN,Denmark,1976,10,0,10,10
DEN,Denmark,1977,10,0,10,10
DEN,Denmark,1978,10,0,10,10
DEN,Denmark,1979,10,0,10,10
DEN,Denmark,1980,10,0,10,10
DEN,Denmark,1981,10,0,10,10
DEN,Denmark,1982,10,0,10,10
DEN,Denmark,1983,10,0,10,10
DEN,Denmark,1984,10,0,10,10
DEN,Denmark,1985,10,0,10,10
DEN,Denmark,1986,10,0,10,10
DEN,Denmark,1987,10,0,10,10
DEN,Denmark,1988,10,0,10,10
DEN,Denmark,1989,10,0,10,10
DEN,Denmark,1990,10,0,10,10
DEN,Denmark,1991,10,0,10,10
DEN,Denmark,1992,10,0,10,10
DEN,Denmark,1993,10,0,10,10
